tree_id;stand_id;plot;stand_idplot;tag;species;year;year_count;tree_status;dbh;x_coord;AreaCookie;y_coord;size_cat
AB08000600015;AB08;6;AB086;4102;TSHE;2012;35;1;12,4;64,61;120,7628216;63,51;small
AB08000600016;AB08;6;AB086;4103;TSHE;2012;35;1;85,8;65,6;5781,818536;63,94;regular
AB08000600017;AB08;6;AB086;4104;TSHE;2012;35;1;30,5;67,97;730,6166415;67,71;regular
AB08000600018;AB08;6;AB086;4105;TSHE;2012;35;1;17,4;70,66;237,787148;67,78;regular
AB08000600019;AB08;6;AB086;4106;TSHE;1990;13;6;26,5;71,99;551,5458602;65,51;regular
AB08000600020;AB08;6;AB086;4107;THPL;2012;35;1;61,2;74,26;2941,661697;63;regular
AB08000600021;AB08;6;AB086;4108;TSHE;2012;35;1;26;71,97;530,9291585;57,78;regular
AB08000600022;AB08;6;AB086;4109;TSHE;2012;35;1;72,9;62,57;4173,927854;59,16;regular
AB08000600023;AB08;6;AB086;4110;TSHE;2012;35;1;89;52,96;6221,138852;53,86;regular
AB08000600024;AB08;6;AB086;4111;TSHE;2012;35;1;29,1;60,13;665,0830187;50,18;regular
AB08000600025;AB08;6;AB086;4112;TSHE;2012;35;1;96,6;62,48;7328,990086;53,6;regular
AB08000600026;AB08;6;AB086;4113;TSHE;2012;35;1;69,2;71,47;3760,989061;52,57;regular
AB08000600027;AB08;6;AB086;5057;TABR;2012;35;1;9;51,67;63,61725124;61,51;small
AB08000600028;AB08;6;AB086;9978;ABAM;2012;35;1;8,8;72,58;60,82123377;53,68;small
AB08000600029;AB08;6;AB086;9979;ABAM;2012;35;1;8,1;70,86;51,5299735;59,9;small
AB08000600030;AB08;6;AB086;32;TABR;2012;35;1;7;49,94;38,48451001;62,76;small
AB08000600031;AB08;6;AB086;35;ABAM;2012;35;1;6,6;74,4;34,211944;62,31;small
AB08000600032;AB08;6;AB086;9865;TSHE;2012;35;1;7,2;73,62;40,71504079;67,2;small
AB08000600033;AB08;6;AB086;124;ABAM;2012;35;1;6,1;67,57;29,22466566;57,69;small
AB08000600034;AB08;6;AB086;126;THPL;2012;35;1;17;27,88;226,9800692;61,44;regular
AB08000600035;AB08;6;AB086;130;TSHE;2012;35;1;5,9;73,84;27,33971007;54,36;small
AB08000600036;AB08;6;AB086;351;ABAM;2017;40;2;5,3;67,11104447;22,06183441;59,83542292;small
AB08000700001;AB08;7;AB087;4115;THPL;2012;35;1;69,1;77,2;3750,127005;97,67;regular
AB08000700002;AB08;7;AB087;4116;ABAM;2012;35;6;23,2;81,66;422,7327075;97,47;regular
AB08000700003;AB08;7;AB087;4117;TSHE;2012;35;1;68,5;77,81;3685,284532;93,82;regular
AB08000700004;AB08;7;AB087;4118;ABAM;2008;31;6;23,4;85,53;430,0526183;99,38;regular
AB08000700005;AB08;7;AB087;4119;THPL;2012;35;1;76,2;82,73;4560,367312;96,38;regular
AB08000700006;AB08;7;AB087;4120;TSHE;2012;35;1;69,4;88,01;3782,760298;92,3;regular
AB08000700007;AB08;7;AB087;4121;THPL;2012;35;1;63,7;92,1;3186,902274;98,18;regular
AB08000700008;AB08;7;AB087;4122;TSHE;2012;35;1;17,6;94,05;243,2849351;95,32;regular
AB08000700009;AB08;7;AB087;4123;THPL;2012;35;1;60,4;95,62;2865,258164;96,35;regular
AB08000700010;AB08;7;AB087;4124;TSHE;2002;25;6;16,1;99,21;203,5830579;95,37;regular
AB08000700011;AB08;7;AB087;4125;PSME;2012;35;1;123,3;93,34;11940,32188;93,09;regular
AB08000700012;AB08;7;AB087;4126;TSHE;2012;35;1;19,7;98,52;304,8051732;91,14;regular
AB08000700013;AB08;7;AB087;4127;THPL;2012;35;1;42,5;92,13;1418,625433;90,46;regular
AB08000700014;AB08;7;AB087;4128;TSHE;2012;35;1;31,1;92,21;759,6449576;88,34;regular
AB08000700015;AB08;7;AB087;4129;TSHE;2012;35;1;20,3;86,53;323,6547292;90,01;regular
AB08000700016;AB08;7;AB087;4130;THPL;2012;35;1;49,7;85,19;1940,004149;88,97;regular
AB08000700017;AB08;7;AB087;4131;TSHE;2012;35;1;24,6;81,39;475,2915526;90,02;regular
AB08000700018;AB08;7;AB087;4132;THPL;2012;35;1;96,5;76,87;7313,824047;87,32;regular
AB08000700019;AB08;7;AB087;4133;THPL;2012;35;1;97,8;83,01;7512,207769;87,23;regular
AB08000700020;AB08;7;AB087;4134;TSHE;1983;6;6;17,6;88,33;243,2849351;83,25;regular
AB08000700021;AB08;7;AB087;4135;TSHE;2012;35;1;26,2;96,55;539,1287153;85,25;regular
AB08000700022;AB08;7;AB087;4136;TSHE;2012;35;1;66,6;94,9;3483,680678;79,28;regular
AB08000700023;AB08;7;AB087;4137;THPL;2012;35;1;65,1;91,13;3328,52527;82,64;regular
AB08000700024;AB08;7;AB087;4138;THPL;2012;35;1;66,9;89,97;3515,135874;80,62;regular
AB08000700025;AB08;7;AB087;4139;TSHE;2012;35;1;23,6;86,68;437,4353611;80,77;regular
AB08000700026;AB08;7;AB087;4140;TSHE;2012;35;1;82,7;84,79;5371,565805;78,21;regular
AB08000700027;AB08;7;AB087;4141;TSHE;2008;31;6;69,9;79,78;3837,46328;76,79;regular
AB08000700028;AB08;7;AB087;2220;ABAM;2012;35;1;18,2;77,91;260,1552876;78,25;regular
AB08000700029;AB08;7;AB087;282;TSHE;2012;35;2;15,2;88,51;181,4583917;98,15;regular
AB08000800001;AB08;8;AB088;4142;THPL;2012;35;1;78,4;78,36;4827,496935;69,04;regular
AB08000800002;AB08;8;AB088;4143;THPL;1990;13;6;52,6;82,13;2173,008223;73,25;regular
AB08000800003;AB08;8;AB088;4144;TSHE;2012;35;1;37,6;89,26;1110,364507;73,66;regular
AB08000800004;AB08;8;AB088;4145;THPL;2012;35;1;113,7;94,71;10153,38398;74,89;regular
AB08000800005;AB08;8;AB088;4146;TSHE;2012;35;1;46,5;95,55;1698,227179;65,19;regular
AB08000800006;AB08;8;AB088;4147;TSHE;2012;35;1;26,9;90,99;568,321965;66,59;regular
AB08000800007;AB08;8;AB088;4148;THPL;2012;35;1;57,2;86,88;2569,697127;68,88;regular
AB08000800008;AB08;8;AB088;4149;THPL;2012;35;1;81,7;78,31;5242,446347;65,83;regular
AB08000800009;AB08;8;AB088;4150;TSHE;2012;35;1;44,1;76,03;1527,450202;63,68;regular
AB08000800010;AB08;8;AB088;4151;TSHE;2012;35;1;31,1;75,61;759,6449576;58,56;regular
AB08000800011;AB08;8;AB088;4152;TSHE;2012;35;1;76,6;86,73;4608,370848;61,19;regular
AB08000800012;AB08;8;AB088;4153;PSME;2012;35;1;103,1;88,61;8348,476172;61,11;regular
AB08000800013;AB08;8;AB088;4154;TSHE;2012;35;1;46,3;91,76;1683,650189;63,74;regular
AB08000800014;AB08;8;AB088;4155;THPL;2012;35;1;64,4;96,66;3257,328927;61,49;regular
AB08000800015;AB08;8;AB088;4156;TSHE;2012;35;1;25;95,3;490,8738521;55,19;regular
AB08000800016;AB08;8;AB088;4157;TSHE;2012;35;1;78,7;93,34;4864,512751;56,67;regular
AB08000800017;AB08;8;AB088;4158;TSHE;2012;35;1;41,1;88,1;1326,702432;59,05;regular
AB08000800018;AB08;8;AB088;4159;TSHE;2012;35;1;26,2;80,31;539,1287153;53,68;regular
AB08000800019;AB08;8;AB088;4160;TSHE;2012;35;1;25,4;84,08;506,7074791;51,23;regular
AB08000800020;AB08;8;AB088;4161;TSHE;2012;35;1;19,7;88,44;304,8051732;52,77;regular
AB08000800021;AB08;8;AB088;123;ABAM;2012;35;1;15,3;77,04;183,8538561;71,22;regular
AB08000900001;AB08;9;AB089;4284;THPL;2012;35;1;98;76;7542,963961;49,9;regular
AB08000900002;AB08;9;AB089;4285;TSHE;2012;35;1;32,9;94,37;850,122826;48,83;regular
AB08000900003;AB08;9;AB089;4286;PSME;2012;35;1;80,5;97,84;5089,576448;47,43;regular
AB08000900004;AB08;9;AB089;4287;THPL;2012;35;1;79,1;98,02;4914,087083;44,13;regular
AB08000900005;AB08;9;AB089;4288;TSHE;2012;35;1;38,4;95,73;1158,116716;41,11;regular
AB08000900006;AB08;9;AB089;4289;TSHE;2012;35;1;25,1;88,21;494,8086969;41,43;regular
AB08000900007;AB08;9;AB089;4290;TSHE;2012;35;1;63,4;86,07;3156,955042;42,79;regular
AB08000900008;AB08;9;AB089;4291;TSHE;2012;35;6;34,3;84,19;924,0130853;45,14;regular
AB08000900009;AB08;9;AB089;4292;TSHE;1984;7;6;74,7;79,76;4382,592438;44,24;regular
AB08000900010;AB08;9;AB089;4293;ABAM;2012;35;1;23;78,11;415,4756284;43,62;regular
AB08000900011;AB08;9;AB089;4294;THPL;2012;35;1;69;78,43;3739,280656;39,4;regular
AB08000900012;AB08;9;AB089;4295;TSHE;2012;35;1;36,8;77,3;1063,617609;37,8;regular
AB08000900013;AB08;9;AB089;4296;PSME;2008;31;6;102;78,7;8171,282492;35,02;regular
AB08000900014;AB08;9;AB089;4297;THPL;2012;35;1;75;86,7;4417,864669;38,26;regular
AB08000900015;AB08;9;AB089;4298;THPL;2012;35;1;78,4;91,78;4827,496935;39,4;regular
AB08000900016;AB08;9;AB089;4299;TSHE;2012;35;1;91,5;98,17;6575,549774;34,6;regular
AB08000900017;AB08;9;AB089;4300;TSHE;2012;35;1;16,3;92,98;208,672438;32,74;regular
AB08000900018;AB08;9;AB089;4301;THPL;2012;35;1;68,8;97,06;3717,635083;30,78;regular
AB08000900019;AB08;9;AB089;4302;TSHE;2012;35;6;23,3;93,3;426,3848089;26,51;regular
AB08000900020;AB08;9;AB089;4303;TSHE;2008;31;6;77;89,87;4656,625711;27,83;regular
AB08000900021;AB08;9;AB089;4304;TSHE;2012;35;1;94,7;88,16;7043,521415;36,12;regular
AB08000900022;AB08;9;AB089;4305;THPL;2012;35;1;55;76,88;2375,829444;31,79;regular
AB08000900023;AB08;9;AB089;4306;TSHE;2012;35;1;36,3;79,31;1034,911306;28,5;regular
